Task ID, Task Name,Task Content,Status,Date Created,Date Created Text,Due Date,Due Date Text,Start Date,Start Date Text,Parent ID,Attachments,Assignees,Tags,Priority,List Name,Folder Name/Path,Space Name,Time Estimated,Time Estimated Text,Checklists,Comments,Assigned Comments,Time Spent,Time Spent Text,Rolled Up Time,Rolled Up Time Text
868gegae5,"PeakTitle.com Maintenance","",complete,1763652339768,"11/20/2025, 10:25:39 AM EST",1764666000000,"12/2/2025, 4:00:00 AM EST",,"",null,"[]","[Trey Kauffman]","[]",null,"Peak Title","[""Peak Title Agency""]","Mosaic Life Creative","","","{}","[]","0", "",,NaN,
868c0rxc8,"PeakTitle.com Maintenance","",complete,1737038301021,"1/16/2025, 9:38:21 AM EST",1738486800000,"2/2/2025, 4:00:00 AM EST",,"",null,"[]","[Trey Kauffman]","[]",null,"Peak Title","[""Peak Title Agency""]","Mosaic Life Creative","","","{}","[]","0", "",,NaN,
868chj7ja,"PeakTitle.com Maintenance","",complete,1739218460280,"2/10/2025, 3:14:20 PM EST",1740906000000,"3/2/2025, 4:00:00 AM EST",,"",null,"[]","[Trey Kauffman]","[]",null,"Peak Title","[""Peak Title Agency""]","Mosaic Life Creative","","","{}","[]","0", "",,NaN,
868dh2jde,"PeakTitle.com Maintenance","",complete,1744658038064,"4/14/2025, 3:13:58 PM EDT",1746172800000,"5/2/2025, 4:00:00 AM EDT",,"",null,"[]","[Trey Kauffman]","[]",null,"Peak Title","[""Peak Title Agency""]","Mosaic Life Creative","","","{}","[]","0", "",,NaN,
868cwkcx1,"PeakTitle.com Maintenance","",complete,1741035601855,"3/3/2025, 4:00:01 PM EST",1743580800000,"4/2/2025, 4:00:00 AM EDT",,"",null,"[]","[Trey Kauffman]","[]",null,"Peak Title","[""Peak Title Agency""]","Mosaic Life Creative","","","{}","[]","0", "",,NaN,
868du66vr,"PeakTitle.com Maintenance","",complete,1746457005093,"5/5/2025, 10:56:45 AM EDT",1748851200000,"6/2/2025, 4:00:00 AM EDT",,"",null,"[]","[Trey Kauffman]","[]",null,"Peak Title","[""Peak Title Agency""]","Mosaic Life Creative","","","{}","[]","0", "",,NaN,
868eqyj7x,"PeakTitle.com Maintenance","",complete,1752259638211,"7/11/2025, 2:47:18 PM EDT",1754121600000,"8/2/2025, 4:00:00 AM EDT",,"",null,"[]","[Trey Kauffman]","[]",null,"Peak Title","[""Peak Title Agency""]","Mosaic Life Creative","","","{}","[]","0", "",,NaN,
868e8uwh7,"PeakTitle.com Maintenance","",complete,1749230192303,"6/6/2025, 1:16:32 PM EDT",1751443200000,"7/2/2025, 4:00:00 AM EDT",,"",null,"[]","[Trey Kauffman]","[]",null,"Peak Title","[""Peak Title Agency""]","Mosaic Life Creative","","","{}","[]","0", "",,NaN,
868fkbar9,"PeakTitle.com Maintenance","",complete,1757962999133,"9/15/2025, 3:03:19 PM EDT",1759392000000,"10/2/2025, 4:00:00 AM EDT",,"",null,"[]","[Trey Kauffman]","[]",null,"Peak Title","[""Peak Title Agency""]","Mosaic Life Creative","","","{}","[]","0", "",,NaN,
868f7cctc,"PeakTitle.com Maintenance","",complete,1755285959757,"8/15/2025, 3:25:59 PM EDT",1756800000000,"9/2/2025, 4:00:00 AM EDT",,"",null,"[]","[Trey Kauffman]","[]",null,"Peak Title","[""Peak Title Agency""]","Mosaic Life Creative","","","{}","[]","0", "",,NaN,
